------ Begin Next Fly'm ------


"Begin Fly'm (Tue May 04 16:05:02 2021)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 10000"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","NO ","NO ","NO ","NO ","YES","YES","NO "


"Ion N","Mass","X","Y","Z","Azm","Elv","Vx","Vy","Vz","KE"
146,28,168.084,138.554,150,90.4023,0.152599,-0.185105,0.0702201,-26.3646,100.863
147,28,165.178,135.439,150,90.1922,0.522125,-0.0884643,0.24027,-26.3654,100.873
148,28,159.858,141.539,150,89.5477,-0.292235,0.208114,-0.134474,-26.3639,100.862
149,28,167.971,139.729,150,90.329,-0.0112528,-0.151452,-0.00517953,-26.372,100.918
150,28,168.709,139.153,150,90.5014,0.0973087,-0.23077,0.0447858,-26.369,100.9
151,28,161.628,140.425,150,89.8356,-0.0773891,0.0756491,-0.0356183,-26.3702,100.902
152,28,167.358,137.913,150,90.8507,0.684473,-0.39144,0.314967,-26.361,100.867
153,28,160.94,140.045,150,89.7766,-0.0455656,0.102815,-0.0209726,-26.3715,100.912
154,28,164.924,140.202,150,90.0583,-0.0546432,-0.0268215,-0.0251546,-26.3757,100.943
155,28,158.705,139.981,150,89.0832,-0.0742856,0.422015,-0.0341968,-26.3723,100.942
156,28,163.913,134.956,150,89.904,1.05658,0.0441688,0.486365,-26.3713,100.944
157,28,164.081,144.194,150,89.815,-1.196,0.0851534,-0.550496,-26.3681,100.93
158,28,168.403,138.391,150,90.5277,0.238645,-0.242841,0.109819,-26.365,100.871
159,28,162.801,142.777,150,89.3864,-1.16687,0.28233,-0.536961,-26.3606,100.881
160,28,163.247,143.072,150,89.9313,-0.336156,0.0315974,-0.154702,-26.3677,100.885
161,28,166.984,137.485,150,90.2911,0.237556,-0.133953,0.109312,-26.3644,100.86
162,28,162.024,139.322,150,89.8672,0.0140885,0.0611232,0.00648454,-26.3716,100.912
163,28,160.944,138.493,150,88.9704,0.810527,0.473744,0.372979,-26.3597,100.873
164,28,163.946,134.999,150,89.9242,1.08979,0.0349001,0.501654,-26.3712,100.945
